Part_Number,Type,Heatsink,Voltage_IEC,Voltage_UL,EMI,Power_KW,Power_HP,Irated_IEC_A,Irated_UL_A,I_OC_A,I_OL_A,I_OC_%,I_OL_%,Rated_kHz,Max_kHz,Ctrl_Board,Pdf_Dim_File,Step_File_Download
12F6P52-3A31,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,4,5,9.50,7.60,20.52,14.25,216,150,8,16,P5-3,F6-2_air_panel.pdf,12F6P52-3A31.stp
12F6P52-3A33,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,4,5,9.50,7.60,20.52,14.25,216,150,8,16,P5-3,F6-2_air_push.pdf,12F6P52-3A33.stp
12F6P52-3A41,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,4,5,9.50,7.60,20.52,14.25,216,150,8,16,P5-4,F6-2_air_panel.pdf,12F6P52-3A41.stp
12F6P52-3A43,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,4,5,9.50,7.60,20.52,14.25,216,150,8,16,P5-4,F6-2_air_push.pdf,12F6P52-3A43.stp
12F6P52-3A51,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,4,5,9.50,7.60,20.52,14.25,216,150,8,16,P5-5,F6-2_air_panel.pdf,12F6P52-3A51.stp
12F6P52-3A53,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,4,5,9.50,7.60,20.52,14.25,216,150,8,16,P5-5,F6-2_air_push.pdf,12F6P52-3A53.stp
13F6A12-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,A1,F6-2_air_panel.pdf,13F6A12-1511.stp
13F6A12-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,A1,F6-2_air_push.pdf,13F6A12-1513.stp
13F6A12-3A11,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,A1,F6-2_air_panel.pdf,13F6A12-3A11.stp
13F6A12-3A13,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,A1,F6-2_air_push.pdf,13F6A12-3A13.stp
13F6A32-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,A3,F6-2_air_panel.pdf,13F6A32-1511.stp
13F6A32-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,A3,F6-2_air_push.pdf,13F6A32-1513.stp
13F6A32-3A11,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,A3,F6-2_air_panel.pdf,13F6A32-3A11.stp
13F6A32-3A13,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,A3,F6-2_air_push.pdf,13F6A32-3A13.stp
13F6K12-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,K1-E,F6-2_air_panel.pdf,13F6K12-1511.stp
13F6K12-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,K1-E,F6-2_air_push.pdf,13F6K12-1513.stp
13F6K12-3A11,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,K1-E,F6-2_air_panel.pdf,13F6K12-3A11.stp
13F6K12-3A13,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,K1-E,F6-2_air_push.pdf,13F6K12-3A13.stp
13F6P52-1531,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,P5-3,F6-2_air_panel.pdf,13F6P52-1531.stp
13F6P52-1533,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,P5-3,F6-2_air_push.pdf,13F6P52-1533.stp
13F6P52-1541,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,P5-4,F6-2_air_panel.pdf,13F6P52-1541.stp
13F6P52-1543,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,P5-4,F6-2_air_push.pdf,13F6P52-1543.stp
13F6P52-1551,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,P5-5,F6-2_air_panel.pdf,13F6P52-1551.stp
13F6P52-1553,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,5.5,7.5,24,24,43.20,36,180,150,4,16,P5-5,F6-2_air_push.pdf,13F6P52-1553.stp
13F6P52-3A31,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,P5-3,F6-2_air_panel.pdf,13F6P52-3A31.stp
13F6P52-3A33,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,P5-3,F6-2_air_push.pdf,13F6P52-3A33.stp
