Part_Number,Type,Heatsink,Voltage_IEC,Voltage_UL,EMI,Power_KW,Power_HP,Irated_IEC_A,Irated_UL_A,I_OC_A,I_OL_A,I_OC_%,I_OL_%,Rated_kHz,Max_kHz,Ctrl_Board,Pdf_Dim_File,Step_File_Download
13F6P52-3A41,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,P5-4,F6-2_air_panel.pdf,13F6P52-3A41.stp
13F6P52-3A43,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,P5-4,F6-2_air_push.pdf,13F6P52-3A43.stp
13F6P52-3A51,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,P5-5,F6-2_air_panel.pdf,13F6P52-3A51.stp
13F6P52-3A53,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,5.5,7.5,12,11,25.92,18,216,150,8,16,P5-5,F6-2_air_push.pdf,13F6P52-3A53.stp
14F6A12-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,A1,F6-2_air_panel.pdf,14F6A12-1511.stp
14F6A12-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,A1,F6-2_air_push.pdf,14F6A12-1513.stp
14F6A12-3911,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,A1,F6-2_air_panel.pdf,14F6A12-3911.stp
14F6A12-3913,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,A1,F6-2_air_push.pdf,14F6A12-3913.stp
14F6A12-391H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,A1,F6-2_conv_push.pdf,14F6A12-391H.stp
14F6A32-1511,F6,air cooled / panel mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,A3,F6-2_air_panel.pdf,14F6A32-1511.stp
14F6A32-1513,F6,air cooled / push-through mount,230V 3 phase,230V 3 phase,none,7.5,10,33,33,59.40,49.50,180,150,4,16,A3,F6-2_air_push.pdf,14F6A32-1513.stp
14F6A32-3911,F6,air cooled / panel mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,A3,F6-2_air_panel.pdf,14F6A32-3911.stp
14F6A32-3913,F6,air cooled / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,A3,F6-2_air_push.pdf,14F6A32-3913.stp
14F6A32-391H,F6,air cooled (convection) / push-through mount,400V 3 phase,480V 3 phase,none,7.5,10,16.50,14,35.64,24.75,216,150,4,16,A3,F6-2_conv_push.pdf,14F6A32-391H.stp
