Part Number,Type,Size,Housing,Cooling,Mounting,SubResistors,Voltage,EMI,GTR7,Power_KVA,Power_KW,Power_HP,Irated_IEC_Amps,Irated_UL_Amps,I_OL_Amps,I_OC_Amps,OL2_2kHz_A,OL2_4kHz_A,OL2_8kHz_A,OL2_12kHz_A,OL2_16kHz_A,I_OC_%,I_OL_%,OL2_2kHz_%,OL2_4kHz_%,OL2_8kHz_%,OL2_12kHz_%,OL2_16kHz_%,Rated_kHz,Max_kHz,BaseBlockTime_ms
10F6P52-1A51,F6,10,2,air,panel,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
10F6P52-1A53,F6,10,2,air,push-through,none,230V 3ph,none,std,4.4,2.2,3,11,11,16.5,23.76,23.991,22,18.997,15.994,13.992,216,150,218.10,200.00,172.70,145.40,127.20,8,16,600
12F6A12-1A11,F6,12,2,air,panel,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6A12-1A13,F6,12,2,air,push-through,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6A12-3A11,F6,12,2,air,panel,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6A12-3A13,F6,12,2,air,push-through,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6A32-1A11,F6,12,2,air,panel,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6A32-1A13,F6,12,2,air,push-through,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6A32-3A11,F6,12,2,air,panel,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6A32-3A13,F6,12,2,air,push-through,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6K12-1A11,F6,12,2,air,panel,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6K12-1A13,F6,12,2,air,push-through,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6K12-3A11,F6,12,2,air,panel,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6K12-3A13,F6,12,2,air,push-through,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6K12-3A21,F6,12,2,air,panel,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6K12-3A23,F6,12,2,air,push-through,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6P52-1A31,F6,12,2,air,panel,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6P52-1A33,F6,12,2,air,push-through,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6P52-1A41,F6,12,2,air,panel,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6P52-1A43,F6,12,2,air,push-through,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6P52-1A51,F6,12,2,air,panel,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6P52-1A53,F6,12,2,air,push-through,none,230V 3ph,none,std,7,4,5,17.5,17.5,26.25,37.8,40.985,35.9975,29.995,24.99,21.9975,216,150,234.20,205.70,171.40,142.80,125.70,8,16,600
12F6P52-3A31,F6,12,2,air,panel,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6P52-3A33,F6,12,2,air,push-through,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6P52-3A41,F6,12,2,air,panel,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6P52-3A43,F6,12,2,air,push-through,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6P52-3A51,F6,12,2,air,panel,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
12F6P52-3A53,F6,12,2,air,push-through,none,400V 3ph,none,std,6.6,4,5,9.5,7.6,14.25,20.52,19.9975,15.998,10.9915,7.999,5.9945,216,150,210.50,168.40,115.70,84.20,63.10,8,16,450
13F6A12-1511,F6,13,2,air,panel,none,230V 3ph,none,std,9.6,5.5,7.5,24,24,36,43.2,56.208,49.368,41.136,34.272,30.168,180,150,234.20,205.70,171.40,142.80,125.70,4,16,750
13F6A12-1513,F6,13,2,air,push-through,none,230V 3ph,none,std,9.6,5.5,7.5,24,24,36,43.2,56.208,49.368,41.136,34.272,30.168,180,150,234.20,205.70,171.40,142.80,125.70,4,16,750
13F6A12-3A11,F6,13,2,air,panel,none,400V 3ph,none,std,8.3,5.5,7.5,12,11,18,25.92,12.996,12,6,4.5,3.492,216,150,108.30,100.00,50.00,37.50,29.10,8,16,600
13F6A12-3A13,F6,13,2,air,push-through,none,400V 3ph,none,std,8.3,5.5,7.5,12,11,18,25.92,12.996,12,6,4.5,3.492,216,150,108.30,100.00,50.00,37.50,29.10,8,16,600
13F6A32-1511,F6,13,2,air,panel,none,230V 3ph,none,std,9.6,5.5,7.5,24,24,36,43.2,56.208,49.368,41.136,34.272,30.168,180,150,234.20,205.70,171.40,142.80,125.70,4,16,750
13F6A32-1513,F6,13,2,air,push-through,none,230V 3ph,none,std,9.6,5.5,7.5,24,24,36,43.2,56.208,49.368,41.136,34.272,30.168,180,150,234.20,205.70,171.40,142.80,125.70,4,16,750
13F6A32-3A11,F6,13,2,air,panel,none,400V 3ph,none,std,8.3,5.5,7.5,12,11,18,25.92,12.996,12,6,4.5,3.492,216,150,108.30,100.00,50.00,37.50,29.10,8,16,600
13F6A32-3A13,F6,13,2,air,push-through,none,400V 3ph,none,std,8.3,5.5,7.5,12,11,18,25.92,12.996,12,6,4.5,3.492,216,150,108.30,100.00,50.00,37.50,29.10,8,16,600
